,"X,Y",Fixed,density
121,"(72.83242744, 19.00040395)",0,0.187555556
122,"(72.83812409, 19.00047064)",0,0.241111111
123,"(72.84097242, 19.00050391)",0,0.617111111
124,"(72.84382075, 19.00053715)",0,0.662222222
125,"(72.84666909, 19.00057034)",0,0.473333333
126,"(72.84952536, 19.00059225)",0,0.585555556
127,"(72.85236579999999, 19.00063659)",0,0.177777778
128,"(72.85521416, 19.00066964)",0,0.379555556
129,"(72.81537303, 18.99749351)",0,0.407777778
130,"(72.82106951, 18.99756072)",0,0.258888889
131,"(72.82391776, 18.99759425)",0,0.434444444
132,"(72.82676601, 18.99762774)",0,0.441111111
133,"(72.82961427, 18.99766119)",0,0.38
134,"(72.83246254, 18.99769459)",0,0.022
135,"(72.83815909, 18.99776127)",0,0.404444444
136,"(72.84100737, 18.99779454)",0,0.575555556
137,"(72.84385566, 18.99782777)",0,0.295555556
138,"(72.84955226, 18.997894100000003)",0,0.606666667
139,"(72.85240057, 18.99792345)",0,0.43
140,"(72.85524888, 18.99796025)",0,0.019555556
141,"(72.85809721, 18.99799326)",0,0.146666667
142,"(72.81540839, 18.99478419)",0,0.231777778
143,"(72.82110478, 18.99485138)",0,0.6166666670000001
144,"(72.82395299, 18.99488491)",0,0.133777778
145,"(72.82680119, 18.9949184)",0,0.29111111100000003
146,"(72.82964941, 18.99495184)",0,0.238888889
147,"(72.83249763, 18.99498149)",0,0.13
148,"(72.83534586, 18.99501859)",0,0.107777778
149,"(72.83819409, 18.995051899999996)",0,0.285555556
150,"(72.84104233, 18.99508517)",0,0.347777778
151,"(72.84389057, 18.99511839)",0,0.304888889
152,"(72.84673882, 18.99515157)",0,0.495555556
153,"(72.84958708, 18.99518471)",0,0.612
154,"(72.85243534, 18.995217800000002)",0,0.286222222
155,"(72.81544376, 18.99207486)",0,0.187555556
156,"(72.82114005, 18.99214204)",0,0.211111111
157,"(72.82398821, 18.99217557)",0,0.233333333
158,"(72.82968454, 18.99224249)",0,0.214666667
159,"(72.83253271, 18.99227588)",0,0.298666667
160,"(72.83538089, 18.99230923)",0,0.254888889
161,"(72.83822908, 18.99234254)",0,0.407777778
162,"(72.84107727, 18.9923758)",0,0.427777778
163,"(72.84392547, 18.99240902)",0,0.726666667
164,"(72.84677368, 18.99244219)",0,0.382666667
165,"(72.84962189, 18.99247532)",0,0.406222222
166,"(72.85247009999999, 18.99250841)",0,0.232222222
167,"(72.81263102, 18.98933188)",0,0.189777778
168,"(72.81547911, 18.98936553)",0,0.347777778
169,"(72.82402342, 18.98946622)",0,0.326666667
170,"(72.82687154, 18.9894997)",0,0.249333333
171,"(72.82971966, 18.98953313)",1,0.263111111
172,"(72.83256779, 18.98956652)",0,0.308666667
173,"(72.83541593, 18.98959987)",0,0.358
174,"(72.83826407, 18.98963317)",0,0.37
175,"(72.84111221, 18.98966642)",1,0.593333333
176,"(72.84396037, 18.98969964)",0,0.447777778
177,"(72.84680852, 18.98973281)",0,0.267777778
178,"(72.85250486, 18.98979902)",0,0.195555556
179,"(72.85535303, 18.98983205)",0,0.513333333
180,"(72.81551446, 18.98665621)",0,0.332222222
181,"(72.82405864, 18.98675688)",0,0.037333333
182,"(72.82690671, 18.98679035)",0,0.110444444
183,"(72.82975874, 18.98682378)",0,0.379111111
184,"(72.83260286, 18.98685716)",0,0.398888889
185,"(72.83545095, 18.9868905)",0,0.455555556
186,"(72.83829905, 18.9869238)",0,0.414444444
187,"(72.84114715, 18.98695705)",0,0.390444444
188,"(72.84399525, 18.98699026)",1,0.384444444
189,"(72.84684337, 18.98702342)",0,0.267777778
190,"(72.85253961, 18.98708962)",0,0.244444444
191,"(72.82694186, 18.984081)",0,0.6053333329999999
192,"(72.82978989, 18.98411442)",0,0.34555555600000004
193,"(72.83263793, 18.9841478)",0,0.102444444
194,"(72.83548597, 18.98418114)",0,0.160222222
195,"(72.83833402, 18.98421443)",0,0.462222222
196,"(72.84118208, 18.98424767)",0,0.288888889
197,"(72.8468782, 18.98431404)",0,0.048888889000000005
198,"(72.84972628, 18.98434715)",0,0.171111111
199,"(72.85257435, 18.98438022)",0,0.122222222
200,"(72.85542244, 18.98441325)",0,0.097777778
201,"(72.81558514, 18.98123755)",0,0.074666667
202,"(72.82697702, 18.98137165)",0,0.663555556
203,"(72.829825, 18.98140507)",0,0.343333333
204,"(72.83552099, 18.98147177)",0,0.220666667
205,"(72.83836899, 18.98150506)",0,0.364222222
206,"(72.841217, 18.9815383)",0,0.483555556
207,"(72.84976106, 18.98163776)",0,0.171111111
208,"(72.81846838, 18.9785618)",0,0.33
209,"(72.82986009999999, 18.97869571)",0,0.523333333
210,"(72.83270805, 18.97872908)",0,0.208888889
211,"(72.84125192, 18.97882892)",0,0.433333333
212,"(72.84409989, 18.97886211)",0,0.266666667
213,"(72.84694786, 18.97889526)",0,0.363333333
214,"(72.84979584, 18.97892837)",0,0.535555556
215,"(72.80711222, 18.97571788)",0,0.473333333
216,"(72.80996007, 18.97575159)",0,0.320444444
217,"(72.81280793, 18.97578526)",0,0.357777778
