fire_truck,rescue_tru,water_tank,abulance,Total,Y,X,ID,Fixed
1,1,1,1,4,19.00585603,72.83520564,0,No
1,1,1,1,4,19.00612146,72.85799314,1,No
1,1,1,1,4,19.00615444,72.8608416,2,No
1,1,1,1,4,19.00344504,72.86087625,3,No
1,1,1,1,4,19.00017666,72.81248938,4,No
1,1,1,1,4,19.00023647,72.81818594,5,No
1,1,1,1,4,19.00070266,72.85806252,6,No
1,1,1,1,4,19.00073563,72.86091089,7,No
1,1,1,1,4,18.99745985,72.8125248,8,No
1,1,2,1,5,18.99752714,72.81822127,9,No
1,1,1,1,4,18.99786096,72.84670396,10,No
1,1,1,1,4,18.99475053,72.81256021,11,No
1,1,1,1,4,18.99481781,72.81825659,12,No
1,1,2,1,5,18.99525085,72.85528361,13,No
1,1,1,1,4,18.99528386,72.85813188,14,No
1,1,1,1,4,18.9920412,72.81259562,15,No
1,1,1,1,4,18.99220905,72.82683637,16,No
1,1,2,1,5,18.99254145,72.85531832,17,No
1,1,1,1,4,18.98668981,72.81836251,18,No
2,1,1,1,5,18.98705654,72.84969149,19,No
1,1,1,1,4,18.98715564,72.85823587,20,No
1,1,1,1,4,18.98394688,72.8155498,21,yes
1,1,1,1,4,18.98444624,72.85827053,22,No
1,1,1,1,4,18.98143844,72.83267299,23,No
1,1,1,1,4,18.98167083,72.85260909,24,No
1,1,1,1,4,18.98170385,72.85545713,25,No
1,1,1,1,4,18.98173683,72.85830517,26,No
1,1,1,1,4,18.97846466,72.80992466,27,No
1,1,1,1,4,18.97849459,72.81277256,28,No
1,1,1,1,4,18.97853196,72.81561651,29,No
1,1,1,1,4,18.97862884,72.82416423,30,No
1,1,1,1,4,18.9786623,72.82701216,31,No
1,1,1,1,4,18.9787624,72.835556,32,No
1,1,1,1,4,18.97568412,72.80426438,33,No
1,1,1,1,4,18.97621898,72.84983061,34,No
1,1,1,1,4,18.97331035,72.83277814,35,No
1,1,1,1,4,18.97077084,72.84705626,36,No
1,1,1,1,4,18.96779145,72.82430494,37,No
1,1,1,1,4,18.96213755,72.80444183,38,No
1,1,1,1,4,18.96217128,72.80728945,39,No
1,1,1,1,4,18.96257264,72.84146129,40,No
1,1,1,1,4,18.9626058,72.84430899,41,No
1,1,1,1,4,18.95989642,72.84434382,42,yes
1,1,1,1,4,18.95992953,72.84719147,43,No
1,1,1,1,4,18.95712068,72.83868344,44,No
1,1,1,1,4,18.9540096,72.80454823,45,No
1,1,1,1,4,18.95411062,72.81309068,46,yes
1,1,1,1,4,18.95447764,72.84441346,47,No
1,1,1,1,4,18.95123273,72.79888884,48,No
1,1,1,1,4,18.95130028,72.80458368,49,No
1,1,1,1,4,18.95176825,72.84444827,50,No
1,1,1,1,4,18.94852342,72.79892438,51,No
1,1,1,1,4,18.94879254,72.82170354,52,No
1,1,1,1,4,18.94608319,72.8217387,53,No
1,1,1,1,4,18.94628316,72.83882305,54,No
1,1,1,1,4,18.94357377,72.83885793,55,No
1,1,1,1,4,18.94032781,72.79333651,56,No
1,1,1,1,4,18.94069791,72.8246563,57,No
1,1,1,1,4,18.94076463,72.83035089,58,No
1,1,1,1,4,18.93798855,72.82469141,59,No
1,1,1,1,4,18.93805526,72.8303859,60,No
1,1,1,1,4,18.93534589,72.8304209,61,No
1,1,1,1,4,18.93253642,72.82191445,62,No
1,1,1,1,4,18.9326032,72.82760875,63,No
1,1,1,1,4,18.92982706,72.82194958,64,No
1,1,1,1,4,18.92708426,72.81913765,65,No
1,1,1,1,4,18.9271511,72.82483176,66,No
1,1,1,1,4,18.9243749,72.81917282,67,No
1,1,1,1,4,18.92176572,72.82774887,68,No
1,1,1,1,4,18.91892272,72.81639623,69,No
1,1,1,1,4,18.91912291,72.83347775,70,No
1,1,1,1,4,18.91621337,72.81643142,71,No
1,1,1,1,4,18.91628026,72.82212514,72,No
1,1,1,1,4,18.91343696,72.810773,73,No
1,1,1,1,4,18.91350402,72.81646661,74,No
1,1,1,1,4,18.91363761,72.8278539,75,No
1,1,1,1,4,18.91069403,72.80796152,76,No
1,1,1,1,4,18.91089491,72.82504211,77,No
1,1,1,1,4,18.90798469,72.80799683,78,No
1,1,1,1,4,18.90805182,72.81369025,79,No
1,1,1,1,4,18.90808532,72.81653696,80,No
1,1,1,1,4,18.90811877,72.81938368,81,No
1,1,1,1,4,18.90534247,72.81372546,82,No
1,1,1,1,4,18.90537596,72.81657213,83,No
1,1,1,1,4,18.9025324,72.80522083,84,No
1,1,1,1,4,19.00562149,72.81526689,85,No
1,1,1,1,4,19.00565512,72.81811527,86,No
1,1,1,1,4,19.00568872,72.82096365,87,No
1,1,1,1,4,19.00572227,72.82381204,88,No
1,1,1,1,4,19.00575578,72.82666043,89,No
