Index,FireTruck,Rescue_veh,Water truc,Ambulance,compact,X,Y,"X,Y",vehicles_list,potential
191,3,2,3,1,0.7267,72.8439,18.9924,"(72.8439, 18.9924)","[3, 2, 3, 1]",1
192,1,0,0,0,0.3827,72.8468,18.9925,"(72.8468, 18.9925)","[1, 0, 0, 0]",1
193,1,0,0,0,0.4062,72.8496,18.9924,"(72.8496, 18.9924)","[1, 0, 0, 0]",1
194,1,0,0,0,0.2322,72.8525,18.9925,"(72.8525, 18.9925)","[1, 0, 0, 0]",1
195,1,0,0,0,0.1898,72.8126,18.9893,"(72.8126, 18.9893)","[1, 0, 0, 0]",1
196,1,0,0,0,0.3478,72.8155,18.9894,"(72.8155, 18.9894)","[1, 0, 0, 0]",1
197,1,0,0,0,0.3267,72.824,18.9894,"(72.824, 18.9894)","[1, 0, 0, 0]",1
198,1,0,0,0,0.2493,72.8269,18.9895,"(72.8269, 18.9895)","[1, 0, 0, 0]",1
199,2,1,2,0,0.2631,72.8297,18.9895,"(72.8297, 18.9895)","[2, 1, 2, 0]",1
200,1,0,0,0,0.3087,72.8326,18.9896,"(72.8326, 18.9896)","[1, 0, 0, 0]",1
201,1,0,0,0,0.358,72.8354,18.9896,"(72.8354, 18.9896)","[1, 0, 0, 0]",1
202,1,0,0,0,0.37,72.8383,18.9897,"(72.8383, 18.9897)","[1, 0, 0, 0]",1
203,1,0,0,0,0.5933,72.8411,18.9896,"(72.8411, 18.9896)","[1, 0, 0, 0]",1
204,1,0,0,0,0.4478,72.844,18.9897,"(72.844, 18.9897)","[1, 0, 0, 0]",1
205,1,0,0,0,0.2678,72.8468,18.9897,"(72.8468, 18.9897)","[1, 0, 0, 0]",1
206,1,0,0,0,0.1956,72.8525,18.9898,"(72.8525, 18.9898)","[1, 0, 0, 0]",1
207,1,0,0,0,0.5133,72.8554,18.9898,"(72.8554, 18.9898)","[1, 0, 0, 0]",1
208,1,0,0,0,0.3322,72.8155,18.9866,"(72.8155, 18.9866)","[1, 0, 0, 0]",1
209,1,0,0,0,0.0373,72.8241,18.9868,"(72.8241, 18.9868)","[1, 0, 0, 0]",1
210,1,0,0,0,0.1104,72.8269,18.9868,"(72.8269, 18.9868)","[1, 0, 0, 0]",1
