,X,Y
0,280.100272649924,374.28005181137337
1,364.2281273484927,374.92043198531826
2,374.74419225224455,375.0
3,374.872114585348,368.46326322083485
4,196.235424791494,360.5779233838708
5,217.26622553584406,360.7222218362072
6,364.4842673620497,361.8469584269965
7,375.0,361.9265023155348
8,196.3661898431098,354.02330913384606
9,217.39665832160586,354.1856539400294
10,322.5502559406516,354.9910327957284
11,196.496917976274,347.48676536382027
12,217.52705418902104,347.64908604386017
13,354.22497008500636,348.69384447556246
14,364.7403335387561,348.7734848686662
15,196.62764610943822,340.9501974676425
16,249.20224827282604,341.3551547527925
17,354.3531139286092,342.15710769639725
18,217.9180941174605,328.0393582292004
19,333.579745342623,328.9241362165852
20,365.1242482117153,329.16322627889224
21,207.53401257322827,321.42172649757237
22,365.2522074632179,322.6264894997271
23,270.7501284392122,315.36982865807875
24,344.3510642178295,315.9304960604894
25,354.8655785478759,316.01016057973663
26,365.3800928778699,316.0897285944184
27,186.76688320056743,308.1952449498219
28,197.2808806727121,308.26745449134467
29,207.78029536804252,308.3576138821488
30,239.33712899013676,308.5913479410358
31,249.85123721753112,308.67207401051985
32,281.393746491867,308.91357668696264
33,165.87002249219933,301.48687479999717
34,334.093354432943,302.77728560449
35,271.13832564913935,295.75988370813604
36,323.85089195647373,289.6330259469921
37,239.85660810963395,282.4449074733544
38,166.5251398949801,268.8042283282647
39,177.03810365126873,268.88560580355465
40,303.1951454637447,269.85393261897315
41,313.70840456743576,269.9339349042036
42,313.83699143214227,263.3972463773169
43,324.3500659436806,263.47712803183845
44,292.9397615394687,256.70045677541236
45,166.91795190767667,249.19462114431383
46,198.45532952128883,249.4383434257872
47,314.09409132465225,250.32382107127353
48,146.02437693887197,242.4951052884166
49,167.04882771454209,242.65807737427954
50,314.2226043525081,243.78710841825188
51,146.1555850115389,235.95858564452578
52,230.25264974592315,236.6078683646852
53,230.38245491853348,230.07125221622897
54,293.45517963249733,230.55370266789112
55,293.58395108930404,224.01699001486944
56,125.52605059862401,216.1857409871506
57,241.1537737937399,217.07864948422656
58,262.1773016089086,217.23961910034183
59,241.28339437424995,210.54200920962683
60,262.3065530052181,210.7029546995986
61,262.435767483076,204.1662902988639
62,231.03129618953736,197.38812322166936
63,252.05375337045098,197.5492375946285
64,231.160990606898,190.85148294706963
65,220.7797886996296,184.2341648552814
66,241.80154443048866,184.3954239851015
67,220.9096307906915,177.69752458067308
68,252.5710543029864,171.40257999167267
69,210.6588985875839,164.54351796201527
70,273.72117538805264,165.02649918878296
71,210.7888145154964,158.006901813559
72,231.80913042789985,158.16828157407951
73,189.8988206336051,151.3084957601685
74,210.9187304434089,151.47028566510278
75,252.95880849191488,151.79258678945152
76,179.51928005534415,144.6908640285405
77,242.57812344249578,145.17550995908115
78,179.64963900425533,138.15427200622776
79,200.6688473640046,138.3162307941494
80,211.17845154387925,138.3970533681903
81,221.6880926422054,138.47775531152232
82,200.79883712876767,131.77961464569316
83,211.3082936349411,131.86041309359058
84,169.40108498810952,125.0
85,206.48955348941467,373.71419728853004
86,217.0053230458165,373.79533350241076
87,227.52109260216585,373.87639733786096
88,238.0368990770192,373.95734054261084
89,248.5527055518201,374.0381872427953
90,259.0685489450201,374.1189133122622
91,269.58439233827255,374.19954287717223
92,290.61618988002704,374.360464241009
93,301.13210711007764,374.44078016607074
94,311.6480612585798,374.520999586567
95,322.1640154070819,374.6010983763715
96,332.6800064740355,374.6810765354585
97,343.1960344593358,374.76098231611496
98,353.7120624446885,374.8407433399276
99,196.1046228214792,367.0963966739147
100,206.6348274809416,367.18667669541924
101,217.1357927500298,367.258789732385
102,227.6513777142789,367.33980531554823
103,238.1669995969795,367.42074852029805
104,248.68265839813165,367.501571094339
105,259.1983171992314,367.58229716380595
106,269.7140129187826,367.66290260257244
107,280.2297086383338,367.7434115367736
108,290.7454412762841,367.82382396640935
109,301.26121083268595,367.9041157653361
110,311.7769803890877,367.98431105969746
111,322.29278686388864,368.0644098494848
112,332.8086302571411,368.14438800857175
113,343.324473650341,368.2242696630933
114,353.8403170435935,368.3040306869059
115,364.356197355245,368.3836952061531
116,206.7508251636428,360.6410856223265
117,227.78166282639194,360.803237419379
118,238.29710011699228,360.8841564979854
119,248.81257432599168,360.9649790720177
120,259.32808545344267,361.0456810153497
121,269.8435965808935,361.12628645411627
122,290.8747295909926,361.28718369180956
123,301.3903145552942,361.36745136459285
124,311.9058995195958,361.44764665895417
125,322.4215214022963,361.52772132260657
126,332.9664195938227,361.5805816986448
127,343.4528759228948,361.6875570100716
128,353.9685716424985,361.7672939077493
129,206.8814056231583,354.10451772615727
130,227.91191102010592,354.2666695232012
131,238.42720063700506,354.34756447566406
132,248.94249025390417,354.4283629235615
133,259.45781678920235,354.5090648668935
134,269.9731802429521,354.58964617951654
135,291.003944068903,354.7505192910749
136,301.5193444410519,354.83078696385815
137,312.0347817316522,354.910958132076
138,333.065730149651,355.0709868286805
139,343.5812412771019,355.14179705398294
140,354.0967524045529,355.230581254719
