FireTruck,Rescue_veh,Water truc,Ambulance,count,levbycount,Total,comp_norm,Type,HBcount,LBcount,MBcount,C_count,R_count,I_count,others,Special_Co,To_Bui_Co,MED_Pop,LOW_Pop,High_Pop,Tot_Pop,Arr,Pop_22_10,Pop_10_22,compact_1,srid,compact,Intensity,Avgres,Output lay,Output l_1,X,Y,X,Y,PopupInfo,level,count
1,0,0,0,1,1,1,52.8999999999999,RC,0,0,23,8,15,0,,0,23,828,0,0,828,6900,521,734,3.30944,364,0.107333333,1,17,52.9,52.9,72.8074,18.95405,72.8074,18.9540499999999,MEDIUM RISE,0,0
1,0,0,0,1,1,1,279.072,RC,3,0,46,39,10,0,,0,49,1656,0,528,2184,15390,613,2469,8.13089,365,0.238,3,6.67,279.072,279.072,72.81592515,18.9541421,72.8159251499999,18.9541420999999,MED HIGH RISE,1,1
1,0,0,0,1,1,1,1628.97777778,RSCI,0,20,118,108,20,2,,8,138,4248,1280,0,5528,39200,1414,6874,17.5122,366,0.599555556,11,9.4,1628.97777778,1628.98,72.81877485,18.95415789,72.8187748499999,18.95415789,LOW MED RISE,0,0
4,2,3,1,4,4,10,2614.81244444,RSCI,6,130,86,40,179,2,,1,222,3096,8320,1056,1247,53680,5527,5030,18.8651,367,0.765777778,24,15.67,2614.81244444,2614.81,72.82165,18.9542,72.82165,18.9542,LOW MED HIGH RISE,16,4
3,1,3,1,2,3,8,1328.37688888999,RCS,4,140,40,30,150,0,,4,184,1440,8960,704,1110,40720,4520,3928,11.5048999999999,368,0.56,14,9,1328.37688889,1328.38,72.8245,18.95425,72.8245,18.9542499999999,LOW MED HIGH RISE,5,2
1,0,0,0,2,1,1,1344.17422222,RSCI,2,130,50,40,139,2,,1,182,1800,8320,352,1047,40760,4247,4274,11.6691,369,0.566666667,16,10.83,1344.17422222,1344.17,72.82732515,18.95424211,72.8273251499999,18.9542421099999,LOW MED HIGH RISE,2,2
4,1,3,1,4,4,9,1980,RCS,0,150,70,80,138,0,,2,220,2520,9600,0,1212,49500,4408,6450,14.0722,370,0.693333333,23,13.55,1980,1980,72.83017455,18.95430788,72.8301745499999,18.95430788,LOW MED RISE,14,4
1,0,0,0,1,1,1,1308.62977778,RCS,3,100,60,80,82,0,,1,163,2160,6400,528,9088,38590,2842,5681,12.8119999999999,371,0.547777778,10,6,1308.62977778,1308.63,72.83302515,18.95434211,72.8330251499999,18.9543421099999,LOW MED HIGH RISE,0,0
3,2,3,1,5,3,9,2298.69688889,RSCI,4,110,90,50,144,7,,3,204,3240,7040,704,1098,50020,4617,5253,17.8993,372,0.72,23,6.5,2298.69688889,2298.7,72.83587485,18.95435789,72.8358748499999,18.95435789,LOW MED HIGH RISE,16,5
1,0,0,0,1,1,1,771.777777777999,RSCI,0,80,50,84,40,4,,2,130,1800,5120,0,6920,30200,1644,5360,9.32778,373,0.428888889,6,15,771.777777778,771.778,72.83872545,18.95439212,72.8387254499999,18.95439212,LOW MED RISE,0,0
1,0,0,0,1,1,1,164.884444444,CI,0,77,5,80,0,2,,0,82,180,4928,0,5108,16130,347,4301,2.77278,374,0.211555556,2,20,164.884444444,164.884,72.84157485,18.95445789,72.84157485,18.95445789,LOW MED RISE,0,0
