Index,"X,Y",vehicles_list,potential
427,"(72.8248, 18.92985)","[1, 0, 0, 0]",1
428,"(72.82762545, 18.92989212)","[1, 0, 0, 0]",1
429,"(72.83047485, 18.92995789)","[2, 1, 1, 0]",1
430,"(72.83332515, 18.9299421)","[5, 5, 6, 2]",1
431,"(72.83617455, 18.93000788)","[1, 0, 0, 0]",1
432,"(72.83902515, 18.9300421)","[1, 0, 0, 0]",1
433,"(72.82196607, 18.92713274)","[1, 0, 0, 0]",1
434,"(72.82768333, 18.92718333)","[1, 0, 0, 0]",1
435,"(72.83051667, 18.92721667)","[3, 0, 0, 0]",1
436,"(72.83337485, 18.92725789)","[1, 0, 0, 0]",1
437,"(72.82202545, 18.92439212)","[1, 0, 0, 0]",1
438,"(72.82487485, 18.92445789)","[1, 0, 0, 0]",1
439,"(72.82772515, 18.92444211)","[1, 0, 0, 0]",1
440,"(72.83057455, 18.92450788)","[1, 0, 0, 0]",1
441,"(72.8334, 18.92455)","[1, 0, 0, 0]",1
442,"(72.8249, 18.92175)","[1, 0, 0, 0]",1
443,"(72.8306, 18.9218)","[3, 2, 3, 1]",1
444,"(72.83342515, 18.9218421)","[1, 0, 0, 0]",1
445,"(72.82492515, 18.9190421)","[1, 0, 0, 0]",1
446,"(72.82777485, 18.91905789)","[3, 1, 3, 1]",1
447,"(72.83062545, 18.91909212)","[2, 2, 2, 1]",1
448,"(72.81927485, 18.91625789)","[1, 0, 0, 0]",1
449,"(72.82496607, 18.91633274)","[2, 1, 2, 0]",1
450,"(72.82782515, 18.9163421)","[3, 2, 3, 1]",1
451,"(72.83068333, 18.91638333)","[2, 2, 2, 1]",1
452,"(72.80792545, 18.91339212)","[1, 0, 0, 0]",1
453,"(72.81932515, 18.9135421)","[2, 1, 1, 0]",1
454,"(72.82217485, 18.91355789)","[1, 0, 0, 0]",1
455,"(72.825, 18.9136)","[1, 0, 0, 0]",1
456,"(72.8108, 18.91075)","[1, 2, 2, 1]",1
457,"(72.81365, 18.91075)","[2, 2, 2, 1]",1
458,"(72.8165, 18.9108)","[3, 1, 3, 1]",1
459,"(72.81935, 18.91085)","[2, 1, 2, 0]",1
460,"(72.8222, 18.91085)","[1, 0, 0, 0]",1
461,"(72.80515, 18.90795)","[1, 0, 0, 0]",1
462,"(72.81081667, 18.90801667)","[1, 0, 0, 0]",1
463,"(72.80517485, 18.90525789)","[3, 0, 0, 0]",1
