Index,"X,Y",vehicles_list,potential
98,"(72.83347485, 18.91915789)","[4, 0, 0, 0]",1
99,"(72.81641667, 18.91621667)","[1, 0, 0, 0]",1
100,"(72.82213393, 18.91626726)","[1, 1, 1, 0]",1
101,"(72.81077485, 18.91345789)","[2, 1, 2, 0]",1
102,"(72.81647455, 18.91350788)","[2, 2, 2, 1]",1
103,"(72.82785, 18.91365)","[1, 0, 0, 0]",1
104,"(72.80797455, 18.91070788)","[2, 2, 2, 0]",1
105,"(72.82502545, 18.91089212)","[1, 0, 0, 0]",1
106,"(72.80800848, 18.90797515)","[1, 1, 1, 0]",1
107,"(72.81367485, 18.90805789)","[1, 1, 1, 0]",1
108,"(72.81653393, 18.90806726)","[1, 0, 0, 0]",1
109,"(72.81936607, 18.90813274)","[1, 0, 0, 0]",1
110,"(72.81372515, 18.9053421)","[1, 0, 0, 0]",1
111,"(72.81657485, 18.90535789)","[1, 0, 0, 0]",1
112,"(72.80522515, 18.90254211)","[1, 0, 0, 0]",1
113,"(72.81526607, 19.00563274)","[4, 0, 0, 0]",1
114,"(72.81812515, 19.0056421)","[1, 0, 0, 0]",1
115,"(72.82097455, 19.00570788)","[1, 0, 0, 0]",1
116,"(72.82382515, 19.0057421)","[1, 0, 0, 0]",1
117,"(72.82667485, 19.00575789)","[4, 0, 0, 0]",1
118,"(72.82952545, 19.00579212)","[1, 0, 0, 0]",1
119,"(72.83237485, 19.0058579)","[1, 0, 0, 0]",1
120,"(72.83805, 19.0059)","[1, 0, 0, 0]",1
121,"(72.8409, 19.00595)","[1, 0, 0, 0]",1
122,"(72.84375, 19.00595)","[1, 0, 0, 0]",1
123,"(72.8466, 19.006)","[3, 3, 3, 1]",1
124,"(72.84945, 19.00605)","[1, 0, 0, 0]",1
125,"(72.8523, 19.00605)","[1, 0, 0, 0]",1
126,"(72.85515, 19.0061)","[1, 0, 0, 0]",1
127,"(72.81245, 19.00285)","[1, 0, 0, 0]",1
128,"(72.81529152, 19.00292485)","[1, 0, 0, 0]",1
129,"(72.81815, 19.00295)","[4, 0, 0, 0]",1
130,"(72.82100848, 19.00297515)","[1, 0, 0, 0]",1
131,"(72.82384121, 19.00302485)","[1, 0, 0, 0]",1
132,"(72.8267, 19.00305)","[1, 0, 0, 0]",1
133,"(72.82955879, 19.00307515)","[1, 0, 0, 0]",1
134,"(72.83239152, 19.00312485)","[1, 0, 0, 0]",1
135,"(72.83522515, 19.00314211)","[1, 0, 0, 0]",1
136,"(72.83808333, 19.00318333)","[1, 0, 0, 0]",1
137,"(72.84091667, 19.00321667)","[1, 0, 0, 0]",1
138,"(72.84377485, 19.00325789)","[1, 0, 0, 0]",1
139,"(72.84663393, 19.00326726)","[2, 1, 2, 0]",1
140,"(72.84946607, 19.00333274)","[1, 0, 0, 0]",1
141,"(72.85232515, 19.00334211)","[1, 0, 0, 0]",1
142,"(72.85518333, 19.00338333)","[1, 0, 0, 0]",1
143,"(72.85801667, 19.00341667)","[1, 0, 0, 0]",1
144,"(72.81532545, 19.00019212)","[1, 0, 0, 0]",1
145,"(72.82102515, 19.0002421)","[1, 0, 0, 0]",1
146,"(72.82387455, 19.00030788)","[1, 0, 0, 0]",1
147,"(72.82672515, 19.00034211)","[1, 2, 1, 0]",1
148,"(72.82957485, 19.0003579)","[1, 0, 0, 0]",1
149,"(72.83242545, 19.00039212)","[1, 0, 0, 0]",1
150,"(72.83812515, 19.00044211)","[1, 0, 0, 0]",1
151,"(72.84097455, 19.00050788)","[3, 2, 2, 1]",1
152,"(72.84382515, 19.00054211)","[1, 0, 0, 0]",1
153,"(72.84667485, 19.00055789)","[1, 2, 2, 1]",1
154,"(72.84952545, 19.00059212)","[1, 0, 0, 0]",1
155,"(72.85237485, 19.00065789)","[1, 0, 0, 0]",1
156,"(72.85522515, 19.00064211)","[5, 0, 0, 0]",1
157,"(72.81537455, 18.99750788)","[1, 0, 0, 0]",1
158,"(72.82107485, 18.9975579)","[1, 0, 0, 0]",1
159,"(72.82392545, 18.99759212)","[3, 1, 3, 1]",1
160,"(72.82677485, 18.9976579)","[1, 0, 0, 0]",1
161,"(72.82962515, 18.99764211)","[1, 0, 0, 0]",1
162,"(72.83247455, 18.99770788)","[1, 0, 0, 0]",1
163,"(72.83817485, 18.99775789)","[1, 0, 0, 0]",1
164,"(72.84100000000001, 18.9978)","[1, 2, 2, 1]",1
165,"(72.84385, 18.99785)","[2, 1, 2, 0]",1
166,"(72.84955, 18.9979)","[5, 3, 3, 2]",1
167,"(72.8524, 18.99795)","[1, 0, 0, 0]",1
168,"(72.85525, 18.99795)","[1, 0, 0, 0]",1
169,"(72.8581, 18.998)","[1, 0, 0, 0]",1
170,"(72.81543393, 18.99476726)","[1, 0, 0, 0]",1
171,"(72.8211, 18.99485)","[4, 2, 3, 1]",1
172,"(72.82395879, 18.99487515)","[1, 0, 0, 0]",1
173,"(72.82679152, 18.99492485)","[2, 1, 2, 0]",1
174,"(72.82965, 18.99495)","[1, 0, 0, 0]",1
175,"(72.83250848, 18.99497515)","[1, 0, 0, 0]",1
176,"(72.83534121, 18.99502485)","[1, 0, 0, 0]",1
177,"(72.8382, 18.99505)","[1, 0, 0, 0]",1
178,"(72.84103393, 18.99506726)","[3, 0, 0, 0]",1
179,"(72.84386607, 18.99513274)","[1, 0, 0, 0]",1
180,"(72.84672515, 18.99514211)","[1, 0, 0, 0]",1
181,"(72.84958333, 18.99518333)","[1, 0, 0, 0]",1
182,"(72.85241667, 18.99521667)","[1, 0, 0, 0]",1
183,"(72.81545, 18.99205)","[1, 0, 0, 0]",1
184,"(72.82112515, 18.99214211)","[1, 0, 0, 0]",1
185,"(72.82397485, 18.9921579)","[1, 1, 1, 0]",1
186,"(72.82967485, 18.99225789)","[1, 0, 0, 0]",1
187,"(72.83252515, 18.99224211)","[3, 3, 2, 0]",1
188,"(72.83537455, 18.99230788)","[1, 0, 0, 0]",1
189,"(72.83822515, 18.99234211)","[1, 0, 0, 0]",1
190,"(72.84107485, 18.99235789)","[1, 0, 0, 0]",1
191,"(72.84392545, 18.99239212)","[3, 2, 3, 1]",1
192,"(72.84677485, 18.99245789)","[1, 0, 0, 0]",1
193,"(72.84962515, 18.99244211)","[1, 0, 0, 0]",1
194,"(72.85247455, 18.99250788)","[1, 0, 0, 0]",1
195,"(72.81262515, 18.98934211)","[1, 0, 0, 0]",1
196,"(72.81547485, 18.989357899999998)","[1, 0, 0, 0]",1
197,"(72.82402515, 18.98944211)","[1, 0, 0, 0]",1
