Index,"X,Y",vehicles_list,potential
0,"(72.8352, 19.0058)","[2, 1, 2, 0]",1
1,"(72.858, 19.0062)","[1, 0, 0, 0]",1
2,"(72.8608, 19.0061)","[1, 0, 0, 0]",1
3,"(72.8637, 19.0062)","[1, 0, 0, 0]",0
4,"(72.8609, 19.0035)","[1, 0, 0, 0]",1
5,"(72.8125, 19.0002)","[1, 0, 0, 0]",1
6,"(72.8182, 19.0003)","[1, 0, 0, 0]",1
7,"(72.8581, 19.0007)","[1, 0, 0, 0]",1
8,"(72.8609, 19.0007)","[1, 0, 0, 0]",1
9,"(72.8125, 18.9974)","[1, 0, 0, 0]",1
10,"(72.8182, 18.9975)","[1, 0, 0, 0]",1
11,"(72.8467, 18.9978)","[1, 0, 0, 0]",1
12,"(72.8126, 18.9948)","[1, 0, 0, 0]",1
13,"(72.8183, 18.9948)","[1, 0, 0, 0]",1
14,"(72.8553, 18.9953)","[1, 0, 0, 0]",1
15,"(72.8581, 18.9953)","[1, 0, 0, 0]",1
16,"(72.8126, 18.992)","[1, 0, 0, 0]",1
17,"(72.8268, 18.9922)","[1, 0, 0, 0]",1
18,"(72.8553, 18.9925)","[1, 0, 0, 0]",1
19,"(72.8582, 18.9898)","[1, 0, 0, 0]",0
20,"(72.8127, 18.9867)","[1, 0, 0, 0]",0
21,"(72.8184, 18.9867)","[1, 0, 0, 0]",1
22,"(72.8497, 18.987)","[1, 0, 0, 0]",1
23,"(72.8582, 18.9871)","[1, 0, 0, 0]",1
24,"(72.8156, 18.984)","[1, 0, 0, 0]",1
25,"(72.8184, 18.984)","[1, 0, 0, 0]",0
26,"(72.8583, 18.9845)","[1, 0, 0, 0]",1
27,"(72.8127, 18.9812)","[1, 0, 0, 0]",0
28,"(72.8327, 18.9815)","[4, 2, 3, 1]",1
29,"(72.8526, 18.9816)","[2, 1, 1, 0]",1
30,"(72.8555, 18.9817)","[1, 0, 0, 0]",1
31,"(72.8583, 18.9818)","[1, 0, 0, 0]",1
32,"(72.8612, 18.9818)","[1, 0, 0, 0]",0
33,"(72.8071, 18.9785)","[1, 1, 1, 0]",0
34,"(72.8099, 18.9784)","[1, 0, 1, 0]",1
35,"(72.8128, 18.9785)","[1, 0, 0, 0]",1
36,"(72.8156, 18.9785)","[1, 0, 0, 0]",1
37,"(72.8213, 18.9786)","[1, 0, 0, 0]",0
38,"(72.8242, 18.9787)","[1, 0, 0, 0]",1
39,"(72.827, 18.9786)","[1, 0, 0, 0]",1
40,"(72.8356, 18.9788)","[1, 0, 0, 0]",1
41,"(72.8555, 18.979)","[1, 0, 0, 0]",0
42,"(72.8043, 18.9757)","[1, 0, 0, 0]",1
43,"(72.8156, 18.9758)","[1, 0, 0, 0]",0
44,"(72.8214, 18.9759)","[1, 0, 0, 0]",0
45,"(72.8498, 18.9762)","[1, 0, 0, 0]",1
46,"(72.8328, 18.9733)","[1, 0, 0, 0]",1
47,"(72.847, 18.9708)","[1, 0, 0, 0]",1
48,"(72.8243, 18.9678)","[1, 0, 0, 0]",1
49,"(72.8016, 18.9648)","[1, 1, 1, 0]",0
50,"(72.85, 18.9654)","[1, 0, 0, 0]",0
51,"(72.8044, 18.9621)","[2, 2, 2, 1]",1
52,"(72.8073, 18.9622)","[1, 0, 0, 0]",1
53,"(72.8415, 18.9626)","[1, 0, 0, 0]",1
54,"(72.8443, 18.9626)","[1, 0, 0, 0]",1
55,"(72.8045, 18.9595)","[1, 0, 0, 0]",0
56,"(72.8444, 18.9599)","[1, 0, 0, 0]",1
57,"(72.8472, 18.96)","[1, 0, 0, 0]",1
58,"(72.796, 18.9566)","[1, 0, 0, 0]",0
59,"(72.8045, 18.9567)","[1, 0, 0, 0]",0
60,"(72.8387, 18.9571)","[1, 0, 0, 0]",1
61,"(72.7932, 18.9539)","[1, 0, 0, 0]",0
62,"(72.8046, 18.954)","[1, 0, 0, 0]",1
63,"(72.8131, 18.9541)","[1, 0, 0, 0]",1
64,"(72.8444, 18.9544)","[1, 0, 0, 0]",1
65,"(72.7989, 18.9513)","[1, 0, 0, 0]",1
66,"(72.8046, 18.9513)","[1, 0, 0, 0]",1
67,"(72.8444, 18.9518)","[1, 0, 0, 0]",1
68,"(72.7989, 18.9485)","[1, 0, 0, 0]",1
69,"(72.8189, 18.9488)","[1, 0, 0, 0]",0
70,"(72.8217, 18.9488)","[1, 0, 0, 0]",1
71,"(72.8217, 18.9461)","[1, 0, 0, 0]",1
72,"(72.8388, 18.9463)","[1, 0, 0, 0]",1
73,"(72.8445, 18.9463)","[1, 0, 0, 0]",0
74,"(72.7933, 18.943)","[1, 0, 0, 0]",0
75,"(72.7962, 18.943)","[1, 0, 0, 0]",0
76,"(72.8218, 18.9434)","[1, 0, 0, 0]",0
77,"(72.8389, 18.9436)","[1, 0, 0, 0]",1
78,"(72.8417, 18.9436)","[1, 0, 0, 0]",0
79,"(72.8446, 18.9437)","[1, 0, 0, 0]",0
80,"(72.7933, 18.9403)","[1, 0, 0, 0]",1
81,"(72.8247, 18.9407)","[1, 0, 0, 0]",1
82,"(72.8304, 18.9408)","[1, 0, 0, 0]",1
83,"(72.8417, 18.9409)","[1, 0, 0, 0]",0
84,"(72.8446, 18.941)","[1, 0, 0, 0]",0
85,"(72.8247, 18.938)","[1, 0, 0, 0]",1
86,"(72.8304, 18.9381)","[1, 0, 0, 0]",1
87,"(72.8418, 18.9382)","[1, 0, 0, 0]",0
88,"(72.8446, 18.9382)","[1, 0, 0, 0]",0
89,"(72.8304, 18.9353)","[1, 0, 0, 0]",1
90,"(72.8219, 18.9325)","[1, 0, 0, 0]",1
91,"(72.8276, 18.9326)","[1, 0, 0, 0]",1
92,"(72.822, 18.9298)","[1, 0, 0, 0]",1
93,"(72.8191, 18.9271)","[1, 0, 0, 0]",1
94,"(72.8248, 18.9271)","[1, 0, 0, 0]",1
95,"(72.8192, 18.9244)","[1, 0, 0, 0]",1
96,"(72.8278, 18.9218)","[1, 0, 0, 0]",1
97,"(72.8164, 18.919)","[1, 0, 0, 0]",1
98,"(72.8335, 18.9192)","[1, 0, 0, 0]",1
99,"(72.8164, 18.9162)","[1, 0, 0, 0]",1
100,"(72.8221, 18.9163)","[1, 1, 1, 0]",1
101,"(72.8108, 18.9135)","[2, 1, 2, 0]",1
102,"(72.8165, 18.9135)","[2, 2, 2, 1]",1
103,"(72.8278, 18.9136)","[1, 0, 0, 0]",1
104,"(72.808, 18.9107)","[2, 2, 2, 0]",1
105,"(72.825, 18.9109)","[1, 0, 0, 0]",1
106,"(72.808, 18.908)","[1, 1, 1, 0]",1
107,"(72.8137, 18.9081)","[1, 1, 1, 0]",1
108,"(72.8165, 18.9081)","[1, 0, 0, 0]",1
109,"(72.8194, 18.9081)","[1, 0, 0, 0]",1
110,"(72.8137, 18.9053)","[1, 0, 0, 0]",1
111,"(72.8166, 18.9054)","[1, 0, 0, 0]",1
112,"(72.8052, 18.9025)","[1, 0, 0, 0]",1
113,"(72.8153, 19.0056)","[1, 0, 0, 0]",1
114,"(72.8181, 19.0056)","[1, 0, 0, 0]",1
115,"(72.821, 19.0057)","[1, 0, 0, 0]",1
116,"(72.8238, 19.0057)","[1, 0, 0, 0]",1
117,"(72.8267, 19.0058)","[1, 0, 0, 0]",1
118,"(72.8295, 19.0058)","[1, 0, 0, 0]",1
119,"(72.8324, 19.0059)","[1, 0, 0, 0]",1
120,"(72.838, 19.0059)","[1, 0, 0, 0]",1
121,"(72.8409, 19.006)","[1, 0, 0, 0]",1
122,"(72.8438, 19.006)","[1, 0, 0, 0]",1
123,"(72.8466, 19.006)","[3, 3, 3, 1]",1
124,"(72.8494, 19.006)","[1, 0, 0, 0]",1
125,"(72.8523, 19.006)","[1, 0, 0, 0]",1
126,"(72.8552, 19.0061)","[1, 0, 0, 0]",1
127,"(72.8124, 19.0028)","[1, 0, 0, 0]",1
128,"(72.8153, 19.0029)","[1, 0, 0, 0]",1
129,"(72.8182, 19.0029)","[1, 0, 0, 0]",1
130,"(72.821, 19.003)","[1, 0, 0, 0]",1
131,"(72.8238, 19.003)","[1, 0, 0, 0]",1
132,"(72.8267, 19.0031)","[1, 0, 0, 0]",1
133,"(72.8296, 19.0031)","[1, 0, 0, 0]",1
134,"(72.8324, 19.0031)","[1, 0, 0, 0]",1
135,"(72.8352, 19.0031)","[1, 0, 0, 0]",1
136,"(72.8381, 19.0032)","[1, 0, 0, 0]",1
137,"(72.8409, 19.0032)","[1, 0, 0, 0]",1
138,"(72.8438, 19.0033)","[1, 0, 0, 0]",1
139,"(72.8466, 19.0033)","[2, 1, 2, 0]",1
140,"(72.8495, 19.0033)","[1, 0, 0, 0]",1
141,"(72.8523, 19.0033)","[1, 0, 0, 0]",1
142,"(72.8552, 19.0034)","[1, 0, 0, 0]",1
143,"(72.858, 19.0034)","[1, 0, 0, 0]",1
144,"(72.8153, 19.0002)","[1, 0, 0, 0]",1
145,"(72.821, 19.0002)","[1, 0, 0, 0]",1
146,"(72.8239, 19.0003)","[1, 0, 0, 0]",1
147,"(72.8267, 19.0003)","[1, 2, 1, 0]",1
148,"(72.8296, 19.0004)","[1, 0, 0, 0]",1
149,"(72.8324, 19.0004)","[1, 0, 0, 0]",1
150,"(72.8381, 19.0004)","[1, 0, 0, 0]",1
151,"(72.841, 19.0005)","[3, 2, 2, 1]",1
152,"(72.8438, 19.0005)","[1, 0, 0, 0]",1
153,"(72.8467, 19.0006)","[3, 2, 2, 1]",1
154,"(72.8495, 19.0006)","[1, 0, 0, 0]",1
155,"(72.8524, 19.0007)","[1, 0, 0, 0]",1
156,"(72.8552, 19.0006)","[1, 0, 0, 0]",1
157,"(72.8154, 18.9975)","[1, 0, 0, 0]",1
158,"(72.8211, 18.9976)","[1, 0, 0, 0]",1
159,"(72.8239, 18.9976)","[3, 1, 3, 1]",1
160,"(72.8268, 18.9977)","[1, 0, 0, 0]",1
161,"(72.8296, 18.9976)","[1, 0, 0, 0]",1
162,"(72.8325, 18.9977)","[1, 0, 0, 0]",1
163,"(72.8382, 18.9978)","[1, 0, 0, 0]",1
164,"(72.841, 18.9978)","[3, 2, 2, 1]",1
165,"(72.8438, 18.9978)","[2, 1, 2, 0]",1
166,"(72.8495, 18.9979)","[5, 3, 3, 2]",1
167,"(72.8524, 18.998)","[1, 0, 0, 0]",1
168,"(72.8552, 18.998)","[1, 0, 0, 0]",1
169,"(72.8581, 18.998)","[1, 0, 0, 0]",1
170,"(72.8154, 18.9948)","[1, 0, 0, 0]",1
171,"(72.8211, 18.9948)","[4, 2, 3, 1]",1
172,"(72.824, 18.9949)","[1, 0, 0, 0]",1
173,"(72.8268, 18.9949)","[2, 1, 2, 0]",1
174,"(72.8296, 18.995)","[1, 0, 0, 0]",1
175,"(72.8325, 18.995)","[1, 0, 0, 0]",1
176,"(72.8353, 18.995)","[1, 0, 0, 0]",1
177,"(72.8382, 18.995)","[1, 0, 0, 0]",1
178,"(72.841, 18.9951)","[1, 0, 0, 0]",1
179,"(72.8439, 18.9951)","[1, 0, 0, 0]",1
180,"(72.8467, 18.9951)","[1, 0, 0, 0]",1
181,"(72.8496, 18.9952)","[1, 0, 0, 0]",1
182,"(72.8524, 18.9952)","[1, 0, 0, 0]",1
183,"(72.8154, 18.992)","[1, 0, 0, 0]",1
184,"(72.8211, 18.9921)","[1, 0, 0, 0]",1
185,"(72.824, 18.9922)","[1, 1, 1, 0]",1
186,"(72.8297, 18.9923)","[1, 0, 0, 0]",1
187,"(72.8325, 18.9922)","[2, 3, 2, 0]",1
188,"(72.8354, 18.9923)","[1, 0, 0, 0]",1
189,"(72.8382, 18.9923)","[1, 0, 0, 0]",1
190,"(72.8411, 18.9924)","[1, 0, 0, 0]",1
191,"(72.8439, 18.9924)","[3, 2, 3, 1]",1
192,"(72.8468, 18.9925)","[1, 0, 0, 0]",1
193,"(72.8496, 18.9924)","[1, 0, 0, 0]",1
194,"(72.8525, 18.9925)","[1, 0, 0, 0]",1
195,"(72.8126, 18.9893)","[1, 0, 0, 0]",1
196,"(72.8155, 18.9894)","[1, 0, 0, 0]",1
197,"(72.824, 18.9894)","[1, 0, 0, 0]",1
198,"(72.8269, 18.9895)","[1, 0, 0, 0]",1
199,"(72.8297, 18.9895)","[2, 1, 2, 0]",1
200,"(72.8326, 18.9896)","[1, 0, 0, 0]",1
201,"(72.8354, 18.9896)","[1, 0, 0, 0]",1
202,"(72.8383, 18.9897)","[1, 0, 0, 0]",1
203,"(72.8411, 18.9896)","[1, 0, 0, 0]",1
204,"(72.844, 18.9897)","[1, 0, 0, 0]",1
205,"(72.8468, 18.9897)","[1, 0, 0, 0]",1
206,"(72.8525, 18.9898)","[1, 0, 0, 0]",1
207,"(72.8554, 18.9898)","[1, 0, 0, 0]",1
208,"(72.8155, 18.9866)","[1, 0, 0, 0]",1
209,"(72.8241, 18.9868)","[1, 0, 0, 0]",1
210,"(72.8269, 18.9868)","[1, 0, 0, 0]",1
211,"(72.8298, 18.9869)","[2, 2, 2, 1]",1
212,"(72.8326, 18.9868)","[1, 0, 0, 0]",1
213,"(72.8354, 18.9869)","[2, 2, 2, 1]",1
214,"(72.8383, 18.987)","[2, 1, 2, 0]",1
215,"(72.8412, 18.987)","[1, 0, 0, 0]",1
216,"(72.844, 18.987)","[1, 0, 0, 0]",1
217,"(72.8468, 18.987)","[1, 0, 0, 0]",1
218,"(72.8525, 18.9871)","[1, 0, 0, 0]",1
219,"(72.8269, 18.9841)","[1, 0, 0, 0]",1
220,"(72.8298, 18.9841)","[1, 0, 0, 0]",1
221,"(72.8326, 18.9841)","[1, 0, 0, 0]",1
222,"(72.8355, 18.9842)","[1, 0, 0, 0]",1
223,"(72.8383, 18.9842)","[1, 0, 0, 0]",1
224,"(72.8412, 18.9843)","[1, 0, 0, 0]",1
225,"(72.8469, 18.9843)","[1, 0, 1, 0]",1
226,"(72.8497, 18.9843)","[1, 0, 0, 0]",1
227,"(72.8526, 18.9844)","[2, 1, 2, 0]",1
228,"(72.8554, 18.9844)","[1, 0, 0, 0]",1
229,"(72.8156, 18.9813)","[1, 0, 0, 0]",1
230,"(72.827, 18.9814)","[3, 2, 2, 1]",1
231,"(72.8298, 18.9814)","[1, 0, 0, 0]",1
232,"(72.8355, 18.9814)","[1, 0, 0, 0]",1
233,"(72.8384, 18.9815)","[2, 2, 2, 1]",1
234,"(72.8412, 18.9815)","[1, 0, 0, 0]",1
235,"(72.8498, 18.9817)","[1, 1, 1, 0]",1
236,"(72.8185, 18.9786)","[1, 0, 0, 0]",1
237,"(72.8299, 18.9787)","[5, 3, 3, 1]",1
238,"(72.8327, 18.9788)","[1, 0, 0, 0]",1
239,"(72.8412, 18.9788)","[1, 0, 0, 0]",1
240,"(72.8441, 18.9788)","[1, 0, 0, 0]",1
241,"(72.847, 18.9789)","[1, 0, 0, 0]",1
242,"(72.8498, 18.979)","[1, 0, 0, 0]",1
243,"(72.8071, 18.9757)","[3, 2, 2, 1]",1
244,"(72.81, 18.9758)","[2, 2, 2, 1]",1
245,"(72.8128, 18.9758)","[2, 2, 2, 1]",1
246,"(72.8185, 18.9758)","[1, 0, 0, 0]",1
247,"(72.8242, 18.9759)","[3, 2, 2, 1]",1
248,"(72.827, 18.976)","[1, 0, 0, 0]",1
249,"(72.8299, 18.976)","[4, 2, 3, 1]",1
250,"(72.8327, 18.976)","[1, 0, 0, 0]",1
251,"(72.8356, 18.9761)","[1, 0, 0, 0]",1
252,"(72.8384, 18.9761)","[1, 0, 0, 0]",1
253,"(72.8413, 18.9761)","[1, 0, 0, 0]",1
254,"(72.8441, 18.9761)","[1, 0, 0, 0]",1
255,"(72.847, 18.9762)","[1, 0, 0, 0]",1
256,"(72.8043, 18.973)","[1, 0, 0, 0]",1
257,"(72.8071, 18.973)","[3, 3, 3, 1]",1
258,"(72.81, 18.973)","[2, 3, 3, 1]",1
259,"(72.8128, 18.973)","[1, 0, 0, 0]",1
260,"(72.8157, 18.9731)","[1, 0, 0, 0]",1
261,"(72.8185, 18.9731)","[1, 0, 0, 0]",1
262,"(72.8214, 18.9732)","[1, 2, 2, 0]",1
263,"(72.8242, 18.9732)","[1, 0, 0, 0]",1
264,"(72.8271, 18.9733)","[1, 0, 0, 0]",1
265,"(72.8299, 18.9732)","[3, 0, 0, 0]",1
266,"(72.8356, 18.9733)","[1, 0, 0, 0]",1
267,"(72.8385, 18.9734)","[1, 0, 0, 0]",1
268,"(72.8413, 18.9734)","[1, 0, 0, 0]",1
269,"(72.8442, 18.9735)","[1, 0, 0, 0]",1
270,"(72.847, 18.9734)","[1, 0, 0, 0]",1
271,"(72.8499, 18.9735)","[1, 0, 0, 0]",1
272,"(72.8043, 18.9702)","[1, 0, 0, 0]",1
273,"(72.8072, 18.9703)","[1, 2, 1, 0]",1
274,"(72.81, 18.9703)","[1, 1, 1, 0]",1
275,"(72.8129, 18.9704)","[2, 2, 2, 0]",1
276,"(72.8157, 18.9704)","[2, 1, 2, 0]",1
277,"(72.8186, 18.9705)","[1, 0, 0, 0]",1
278,"(72.8214, 18.9704)","[2, 1, 2, 0]",1
279,"(72.8243, 18.9705)","[2, 2, 2, 0]",1
280,"(72.8271, 18.9705)","[3, 2, 3, 1]",1
281,"(72.83, 18.9706)","[2, 1, 2, 0]",1
282,"(72.8328, 18.9706)","[1, 0, 0, 0]",1
283,"(72.8357, 18.9707)","[1, 0, 0, 0]",1
284,"(72.8385, 18.9706)","[2, 2, 2, 1]",1
285,"(72.8414, 18.9707)","[1, 0, 0, 0]",1
286,"(72.8442, 18.9708)","[1, 0, 0, 0]",1
287,"(72.8044, 18.9676)","[2, 2, 2, 0]",1
288,"(72.8072, 18.9676)","[2, 2, 2, 0]",1
289,"(72.8101, 18.9677)","[2, 2, 2, 1]",1
290,"(72.8129, 18.9676)","[1, 0, 0, 0]",1
291,"(72.8158, 18.9677)","[1, 0, 0, 0]",1
292,"(72.8186, 18.9677)","[1, 0, 0, 0]",1
293,"(72.8215, 18.9678)","[1, 0, 0, 0]",1
294,"(72.8272, 18.9679)","[2, 2, 3, 1]",1
295,"(72.83, 18.9678)","[1, 0, 0, 0]",1
296,"(72.8328, 18.9679)","[1, 2, 2, 0]",1
297,"(72.8357, 18.9679)","[1, 0, 0, 0]",1
298,"(72.8386, 18.9679)","[1, 0, 0, 0]",1
299,"(72.8414, 18.968)","[1, 0, 0, 0]",1
300,"(72.8442, 18.968)","[3, 2, 3, 1]",1
301,"(72.8471, 18.9681)","[1, 0, 0, 0]",1
302,"(72.8499, 18.9681)","[1, 0, 0, 0]",0
303,"(72.8044, 18.9648)","[1, 0, 0, 0]",1
304,"(72.8073, 18.9649)","[1, 0, 0, 0]",1
305,"(72.8101, 18.9649)","[1, 0, 0, 0]",1
306,"(72.813, 18.965)","[1, 0, 0, 0]",1
307,"(72.8158, 18.965)","[1, 0, 0, 0]",1
308,"(72.8186, 18.965)","[1, 0, 0, 0]",1
309,"(72.8215, 18.9651)","[1, 0, 0, 0]",1
310,"(72.8243, 18.9651)","[5, 5, 6, 2]",1
311,"(72.8272, 18.9651)","[3, 2, 3, 1]",1
312,"(72.83, 18.9651)","[1, 0, 0, 0]",1
313,"(72.8329, 18.9652)","[1, 0, 0, 0]",1
314,"(72.8357, 18.9652)","[1, 0, 0, 0]",1
315,"(72.8386, 18.9653)","[2, 1, 2, 0]",1
316,"(72.8414, 18.9653)","[1, 0, 0, 0]",1
317,"(72.8443, 18.9653)","[1, 0, 0, 0]",1
318,"(72.8471, 18.9653)","[4, 4, 3, 1]",1
319,"(72.8016, 18.9621)","[1, 0, 0, 0]",1
320,"(72.8101, 18.9622)","[1, 0, 0, 0]",1
321,"(72.813, 18.9623)","[3, 1, 2, 1]",1
322,"(72.8158, 18.9622)","[1, 0, 0, 0]",1
323,"(72.8187, 18.9623)","[1, 0, 0, 0]",1
324,"(72.8215, 18.9623)","[4, 1, 4, 1]",1
325,"(72.8244, 18.9624)","[3, 2, 3, 1]",1
326,"(72.8272, 18.9624)","[5, 3, 4, 2]",1
327,"(72.8301, 18.9625)","[4, 2, 4, 1]",1
328,"(72.8329, 18.9624)","[1, 0, 0, 0]",1
329,"(72.8358, 18.9625)","[1, 0, 0, 0]",1
330,"(72.8386, 18.9625)","[1, 0, 0, 0]",1
331,"(72.8472, 18.9627)","[1, 0, 0, 0]",1
332,"(72.8016, 18.9594)","[1, 0, 0, 0]",1
333,"(72.8073, 18.9594)","[1, 0, 0, 0]",0
334,"(72.8102, 18.9595)","[1, 0, 0, 0]",1
335,"(72.813, 18.9595)","[1, 0, 0, 0]",1
336,"(72.8159, 18.9596)","[1, 0, 0, 0]",1
337,"(72.8187, 18.9596)","[2, 2, 2, 1]",1
338,"(72.8216, 18.9597)","[5, 4, 4, 2]",1
339,"(72.8244, 18.9596)","[1, 0, 0, 0]",1
340,"(72.8273, 18.9597)","[3, 2, 3, 1]",1
341,"(72.8301, 18.9598)","[1, 0, 0, 0]",1
342,"(72.833, 18.9598)","[1, 1, 1, 0]",1
343,"(72.8358, 18.9598)","[3, 1, 2, 1]",1
344,"(72.8386, 18.9598)","[1, 0, 0, 0]",1
345,"(72.8415, 18.9598)","[1, 0, 0, 0]",1
346,"(72.7988, 18.9566)","[1, 0, 0, 0]",1
347,"(72.8017, 18.9567)","[1, 1, 2, 0]",1
348,"(72.8074, 18.9568)","[1, 0, 0, 0]",1
349,"(72.8102, 18.9568)","[1, 0, 0, 0]",1
350,"(72.813, 18.9568)","[1, 0, 0, 0]",1
351,"(72.8159, 18.9568)","[1, 0, 0, 0]",1
352,"(72.8188, 18.9569)","[4, 1, 4, 1]",1
353,"(72.8216, 18.9569)","[3, 1, 2, 1]",1
354,"(72.8244, 18.957)","[1, 0, 0, 0]",1
355,"(72.8273, 18.957)","[1, 0, 0, 0]",1
